lat,lon,x_wind,y_wind
-67.0,251.75,-5.054535,4.2148714
-66.75,261.75,-4.3239117,0.75700104
-66.25,273.25,-5.549101,-0.7533103
-65.0,283.25,0.98361063,-0.55033517
-61.75,293.25,6.1469717,-0.26690757
-60.0,303.25,20.544172,-9.116988
-58.25,319.5,-1.0880593,9.472685
-58.25,337.75,4.1472983,-8.226939
-57.5,347.75,3.569063,5.0933566
-55.75,357.75,0.84348565,-2.9782188
-45.75,0.0,3.627054,0.91335386
-45.75,10.0,7.4361815,0.45343354
-45.75,20.0,7.9421706,0.7323308
-45.75,30.0,9.426047,1.4670978
-45.75,40.0,9.03752,-0.28088984
-45.75,50.0,8.719168,-1.348577
-45.75,60.0,9.260057,-2.3473282
-45.75,70.0,8.924802,-1.5385513
-45.75,80.0,8.108088,-2.319147
-45.75,90.0,9.269034,-1.3928632
-45.75,100.0,10.200266,-1.4854316
-45.75,110.0,9.990846,-1.208844
-45.75,120.0,8.396331,-1.9883567
-45.75,130.0,7.740199,-3.4169686
-45.75,140.0,6.517912,-3.332645
-45.75,150.0,6.737406,-1.891806
-45.75,160.0,5.494028,-0.11394425
-45.75,170.5,3.7267833,-5.8101745
-45.75,180.5,6.142046,0.2768902
-45.75,190.5,6.073603,-0.02124157
-45.75,200.5,4.318324,0.46859348
-45.75,210.5,3.8176308,-0.3590689
-45.75,220.5,2.8407488,-1.5659963
-45.75,230.5,2.3682418,-1.2014134
-45.75,240.5,2.3875082,-0.14279531
-45.75,250.5,3.777809,-1.2878189
-45.75,260.5,4.206236,-0.8981048
-45.75,270.5,5.044721,-1.7880927
-45.75,280.5,6.003936,-3.4625401
-45.75,292.5,10.928669,1.5059676
-45.75,302.5,4.004515,-1.7435764
-45.75,312.5,4.89251,0.29242852
-45.75,322.5,5.020351,0.55332464
-45.75,332.5,2.3909743,0.89361256
-45.75,342.5,1.5563424,-0.24682835
-45.75,352.5,2.610963,1.6000439
-35.75,0.0,5.1508803,-2.0622776
-35.75,10.0,5.4810147,0.9760288
-35.75,20.0,5.258798,0.8379736
-35.75,30.0,3.7023363,1.5358245
-35.75,40.0,5.367793,-0.64938396
-35.75,50.0,5.6765156,-2.1494362
-35.75,60.0,6.143326,-2.730592
-35.75,70.0,6.527734,-2.2012694
